geo_accession	signature_id	score	genes_requested	genes_present	missing_genes	orientation	role
GSM4567922	HALLMARK_ANGIOGENESIS	0.0319385675568978	36	34	COL3A1;FSTL1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567923	HALLMARK_ANGIOGENESIS	-0.107255032143574	36	34	COL3A1;FSTL1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567924	HALLMARK_ANGIOGENESIS	-0.162420865491659	36	34	COL3A1;FSTL1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567916	HALLMARK_ANGIOGENESIS	-0.329705442134608	36	34	COL3A1;FSTL1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567919	HALLMARK_ANGIOGENESIS	-0.290692179049142	36	34	COL3A1;FSTL1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567930	HALLMARK_ANGIOGENESIS	0.0675630195810825	36	34	COL3A1;FSTL1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567931	HALLMARK_ANGIOGENESIS	0.0630593133699941	36	34	COL3A1;FSTL1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567932	HALLMARK_ANGIOGENESIS	0.104529061774188	36	34	COL3A1;FSTL1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567933	HALLMARK_ANGIOGENESIS	0.266935509964337	36	34	COL3A1;FSTL1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567934	HALLMARK_ANGIOGENESIS	0.669042335772727	36	34	COL3A1;FSTL1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567935	HALLMARK_ANGIOGENESIS	-0.25756856524037	36	34	COL3A1;FSTL1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567912	HALLMARK_G2M_CHECKPOINT	-0.0381742481236533	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567913	HALLMARK_G2M_CHECKPOINT	0.826116202389186	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567914	HALLMARK_G2M_CHECKPOINT	-0.0767075269474273	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567915	HALLMARK_G2M_CHECKPOINT	0.0187943320434805	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567920	HALLMARK_G2M_CHECKPOINT	-0.101271127805023	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567921	HALLMARK_G2M_CHECKPOINT	-0.469543011567668	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567922	HALLMARK_G2M_CHECKPOINT	-0.241910350963095	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567923	HALLMARK_G2M_CHECKPOINT	-0.0173693178292316	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567924	HALLMARK_G2M_CHECKPOINT	-0.0781253092888442	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567916	HALLMARK_G2M_CHECKPOINT	0.659024857459111	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567919	HALLMARK_G2M_CHECKPOINT	0.526819077497299	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567930	HALLMARK_G2M_CHECKPOINT	-0.196599868173729	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567931	HALLMARK_G2M_CHECKPOINT	-0.102549043755152	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567932	HALLMARK_G2M_CHECKPOINT	0.148043902947079	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567933	HALLMARK_G2M_CHECKPOINT	-0.561155164669511	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567934	HALLMARK_G2M_CHECKPOINT	-0.357328864511052	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567935	HALLMARK_G2M_CHECKPOINT	0.0619354612982273	200	187	ATF5;BCL3;DKC1;HIRA;HSPA8;NCL;NUP98;ODC1;PTTG3P;RAD21;SRSF2;STMN1;UCK2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567912	HALLMARK_E2F_TARGETS	-0.00324255613335868	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567913	HALLMARK_E2F_TARGETS	0.781071180132361	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567914	HALLMARK_E2F_TARGETS	-0.267888537947686	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567915	HALLMARK_E2F_TARGETS	0.047205337247881	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567920	HALLMARK_E2F_TARGETS	-0.0409400034775112	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567921	HALLMARK_E2F_TARGETS	-0.478896136606504	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567922	HALLMARK_E2F_TARGETS	-0.343584986304805	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567923	HALLMARK_E2F_TARGETS	0.0635815817148997	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567924	HALLMARK_E2F_TARGETS	-0.0734290304310663	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567916	HALLMARK_E2F_TARGETS	0.861120953081499	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567919	HALLMARK_E2F_TARGETS	0.46409217195342	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567930	HALLMARK_E2F_TARGETS	-0.154387807651689	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567931	HALLMARK_E2F_TARGETS	-0.0631149484375835	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567932	HALLMARK_E2F_TARGETS	0.0122118486631392	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567933	HALLMARK_E2F_TARGETS	-0.554561824860142	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567934	HALLMARK_E2F_TARGETS	-0.354660727115636	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567935	HALLMARK_E2F_TARGETS	0.105423486172778	200	187	CBX5;CIT;DONSON;EED;IPO7;NME1;NOP56;PAN2;RAD21;SHMT1;SRSF2;STMN1;TBRG4	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567912	HALLMARK_INFLAMMATORY_RESPONSE	-0.02882168921629	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567913	HALLMARK_INFLAMMATORY_RESPONSE	0.431522207192133	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567914	HALLMARK_INFLAMMATORY_RESPONSE	0.250639895672655	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567915	HALLMARK_INFLAMMATORY_RESPONSE	-0.211052309680633	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567920	HALLMARK_INFLAMMATORY_RESPONSE	-0.176983269429578	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567921	HALLMARK_INFLAMMATORY_RESPONSE	-0.502686717625569	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567922	HALLMARK_INFLAMMATORY_RESPONSE	0.0147430880632424	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567923	HALLMARK_INFLAMMATORY_RESPONSE	-0.398847528530656	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567924	HALLMARK_INFLAMMATORY_RESPONSE	-0.319589757019097	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567916	HALLMARK_INFLAMMATORY_RESPONSE	0.193787116047897	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567919	HALLMARK_INFLAMMATORY_RESPONSE	0.156727463365849	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567930	HALLMARK_INFLAMMATORY_RESPONSE	-0.256952796948298	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567931	HALLMARK_INFLAMMATORY_RESPONSE	0.197357122609575	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567932	HALLMARK_INFLAMMATORY_RESPONSE	0.0706309671772233	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567933	HALLMARK_INFLAMMATORY_RESPONSE	0.221129854497053	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567934	HALLMARK_INFLAMMATORY_RESPONSE	0.629338806599367	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567935	HALLMARK_INFLAMMATORY_RESPONSE	-0.270942452774873	200	198	LDLR;TNFRSF1B	higher_more_aggressive_program	aggressiveness_negative_control
