record_key	sources	pmid	doi	title	decision	primary_reason	full_text_or_code_assessed	freeze_date
doi:10.1200/jco.2026.44.16_suppl.4146	citation_snowball		10.1200/jco.2026.44.16_suppl.4146	Transcriptomic profiling in advanced hepatocellular carcinoma to identify biomarkers for immunotherapy response and mechanisms of acquired resistance.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.4526	citation_snowball		10.1200/jco.2026.44.16_suppl.4526	Machine learning–based transcriptomic signatures to predict treatment outcomes across targeted and immunotherapy regimens in renal cell carcinoma.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.5048	citation_snowball		10.1200/jco.2026.44.16_suppl.5048	Integrated clinical and molecular characterization of WNT pathway alterations in metastatic castration-resistant prostate cancer (mCRPC) liver metastases (mets).	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.6074	citation_snowball		10.1200/jco.2026.44.16_suppl.6074	Discovery of gene set–based biomarkers and therapeutic targets for papillary thyroid cancer based on circulating DNA and tissue RNA.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.7560	citation_snowball		10.1200/jco.2026.44.16_suppl.7560	A common gene expression signature across multiple myeloma disease stages to identify high-risk of disease progression.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.e13007	citation_snowball		10.1200/jco.2026.44.16_suppl.e13007	Ethnic distribution and clinical impact of serum tumor marker abnormalities in metastatic breast cancer patients.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.e14590	citation_snowball		10.1200/jco.2026.44.16_suppl.e14590	Multimodal immune profile score (IPS) signature as a predictive response biomarker to immune checkpoint inhibitors in tumor mutational burden-high (TMB-H) advanced pancancer cohorts.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.e16393	citation_snowball		10.1200/jco.2026.44.16_suppl.e16393	Evaluation of GATA6 expression as a biomarker in advanced pancreatic cancer: Real-world evidence study.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.e16601	citation_snowball		10.1200/jco.2026.44.16_suppl.e16601	Evaluating and validating immune effector dysfunction as a biomarker in bladder cancer.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.e18018	citation_snowball		10.1200/jco.2026.44.16_suppl.e18018	Progressive locally advanced or metastatic radioiodine-refractory differentiated thyroid cancer (RAI-R DTC) patients treated with donafenib: A real-world study.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
