pmid	doi	year	title	screening_stage	decision	primary_reason	full_text_assessed	freeze_date
41257455	10.1530/ERC-25-0167	2025	Clinical relevance of the thyroid differentiation score (TDS) in benign and malignant thyroid tumors.	title_abstract	exclude	no_relevant_radioiodine_construct	no	2026-07-12
41215686	10.1080/20565623.2025.2580889	2025	Mechanisms and pathways of ROS and autophagy in thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41023438	10.1007/s11307-025-02053-w	2025	Peptide Receptor Radionuclide Therapy with Lu-177-DOTATATE and Monitoring with Somatostatin Receptor PET/CT in Patients with Advanced Differentiated Thyroid Carcinoma.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40999970	10.3892/or.2025.8993	2025	Relationship between amino acid transporter activity and radioactive iodine therapy efficacy in differentiated thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40985353	10.1002/advs.202513243	2025	TSH Ligand-Based CAR-T Cell Effectively Eradicates TSHR-Positive Thyroid Cancer with Favorable Safety Profile.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41312853	10.20945/2359-4292-2025-0129	2025	The clinical utility of thermal ablation procedures in thyroid nodules: Latin American Thyroid Society (LATS) surgical affairs committee expert opinion. Part 2.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41254058	10.1038/s41598-025-24397-7	2025	Gut microbiota and metabolite profiles in thyroid cancer lymph node metastasis: a multi-omics analysis.	title_abstract	exclude	no_relevant_radioiodine_construct	no	2026-07-12
40165363	10.1210/clinem/dgaf190	2025	Prospective Validation of ATA Risk Score for Papillary Thyroid Microcarcinoma: An ITCO Real-World Study.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40976118	10.1016/j.prp.2025.156231	2025	The role of WNT signaling in papillary thyroid cancer: Mechanisms, epigenetic regulation, therapeutic resistance, and emerging clinical strategies.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40880035	10.1007/s40265-025-02233-6	2025	Systemic Therapy for Advanced Thyroid Cancer-New Personalized Options.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40414995	10.1007/s00259-025-07339-3	2025	Less is more: once vs. multiple radioactive iodine (RAI) therapy in patients with RAI-avid pulmonary micrometastatic differentiated thyroid cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41283251	10.3390/medsci13040250	2025	Elevated NIS Expression Correlates with Chemoresistance in Triple-Negative Breast Cancer: Potential Link to FOXA1 Activity.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41234719	10.3389/fonc.2025.1570684	2025	Progress of long-chain noncoding small nucleolar RNA host genes in thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41079885	10.1530/EO-25-0026	2025	Macrophage abundance in oncocytic thyroid cancer is associated with PD-L1 expression.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41039489	10.1186/s13044-025-00266-3	2025	CD44v6 expression in non-anaplastic thyroid carcinoma: characterization of candidates for targeted therapy.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40616765	10.1007/s12020-025-04316-6	2025	Prognostic impact and clinical staging adjustment of tumor deposits in postoperative radioiodine therapy for differentiated thyroid cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40576429	10.1097/JS9.0000000000002838	2025	Multicenter analysis of radioactive iodine therapy outcomes after total thyroidectomy for T1-T2 stage papillary thyroid carcinoma with cervical lymph node metastasis in China.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41097727	10.3390/cancers17193201	2025	Gadd45B Deficiency Drives Radio-Resistance in BRAFV600E-Mutated Differentiated Thyroid Cancer by Disrupting Iodine Metabolic Genes.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40988283	10.1097/MD.0000000000044540	2025	Prognostic significance of BRAF V600E and TERT promoter mutations in radioiodine resistance and recurrence of differentiated thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40959084	10.3389/fimmu.2025.1651088	2025	Personalised immunotherapy strategies informed by single cell profiling in thyroid cancer: a mini review.	title_abstract	exclude	review_or_secondary_source	no	2026-07-12
40714960	10.1002/wjs.12683	2025	Tall Cell Variant Histology Predicts Poorer Disease-Free Survival in Papillary Thyroid Carcinoma: A Propensity-Matched Cohort Study.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40701069	10.1016/j.oraloncology.2025.107513	2025	Turning tumor microenvironmental foes to friends: A new opportunity for thyroid cancer therapy and redifferentiation.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40583572	10.1097/MNM.0000000000002006	2025	Prednisone-aided gross thyroid remnant ablation using 5.55 GBq of radioiodine in patients with differentiated thyroid cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40560352	10.1007/s42000-025-00692-w	2025	Distinctive hobnail subtype of papillary thyroid carcinoma: a case series and short review of literature.	title_abstract	exclude	review_or_secondary_source	no	2026-07-12
40482736	10.1016/j.critrevonc.2025.104792	2025	Exploring the role of TERT in thyroid Cancer: A systematic review.	title_abstract	exclude	review_or_secondary_source	no	2026-07-12
40357638	10.1097/RLU.0000000000005940	2025	Impact of Therapeutic Radioactive Iodine on the Recurrence of Papillary Thyroid Cancer With Extranodal Extension in Metastatic Lymph Nodes: A Propensity Score-matched Analysis.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41030705	10.7759/cureus.91281	2025	Prognostic Value of Programmed Cell Death Ligand 1 (PD-L1) Expression in Patients With Papillary Thyroid Carcinoma: A Retrospective Biomarker Study.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40927522	10.3389/fonc.2025.1644562	2025	High risk factors, molecular features and clinical management for radioactive iodine-refractory differentiated thyroid carcinoma.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40663411	10.1021/acs.bioconjchem.5c00235	2025	PET Imaging of Thyroid-Stimulating Hormone Receptor (TSHR) in Oncocytic Thyroid Carcinoma for Monitoring TSHR CAR T-Cell Therapy Response.	title_abstract	exclude	non_human_or_preclinical_only	no	2026-07-12
40870901	10.3390/diagnostics15162049	2025	"Multilayered Insights into Poorly Differentiated, BRAFV600E-Positive, Thyroid Carcinoma in a Rapidly Developing Goiter with Retrosternal Extension: From En ""Y"" Cervicotomy to SPECT/CT-Positive Lung Metastases."	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40686827	10.1007/s13139-025-00912-6	2025	The Role of Serum Thyroglobulin Doubling Time in Predicting Recurrences/Metastasis on 18F-FDG PET/CT and Prognosis of Differentiated Thyroid Cancer Patients with High Thyroglobulin and Negative Whole-Body Radioactive Iodine Scintigraphy.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40645017	10.1016/j.prp.2025.156112	2025	Clinicopathological and molecular characteristics of papillary thyroid carcinoma with BRAF V600E and TERT promoter co-mutations.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40638871	10.1080/14796694.2025.2531575	2025	Selpercatinib in the treatment of thyroid cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40540622	10.1530/ETJ-25-0024	2025	Molecular predictive biomarker testing in advanced thyroid cancer - a European consensus.	title_abstract	exclude	review_or_secondary_source	no	2026-07-12
40532046	10.1530/ETJ-25-0097	2025	Predictive factors of radioiodine ablation success: results from a MEDIRAD prospective clinical study for thyroid cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40394424	10.1007/s11307-025-02017-0	2025	Visual and Quantitative 18F-FDG PET Tumor-liver Ratio in Radioiodine Refractory Differentiated Thyroid Cancer: Prognostic and Potential Predictive Value.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40358852	10.1007/s40618-025-02598-1	2025	Lomibuvir sensitizes radioiodine-resistant thyroid cancer cell lines to radioiodine treatment by targeting hTERT RNA-dependent polymerase activity.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40722141	10.1186/s12882-025-04348-0	2025	Management of radioiodine ablation therapy in haemodialysis patients with thyroid cancer: a case series of two patients.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40771926	10.3389/fphar.2025.1581820	2025	Emerging trends and knowledge networks in pan-cancer sorafenib resistance: a 20-year bibliometric investigation.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40723255	10.3390/cancers17142372	2025	Therapeutic Efficacy of a Very Low/Low Dose of Lenvatinib in Advanced Radioiodine-Refractory Thyroid Cancer: A Real-World Series from a Single Center.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40731885	10.3390/medicina61071256	2025	CD66b+ Tumor-Infiltrating Neutrophil-like Monocytes as Potential Biomarkers for Clinical Decision-Making in Thyroid Cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40611254	10.1186/s12957-025-03912-0	2025	Impact of extent thyroidectomy and radioactive iodine ablation for disease free survival in the intermediate-risk patients with lateral neck lymph node metastasis: a retrospective and tentative real-world approach.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40593063	10.1038/s41598-025-05605-w	2025	Somatic mutations in the TG and RELA genes specific for radioiodine-refractory thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40590978	10.1007/s00423-025-03788-4	2025	Preoperative assessment of NIFTP clinicopathological characteristics and its impact on avoiding overtreatment.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
40487754	10.3892/ol.2025.15114	2025	Gut microbiome versus thyroid cancer: Association and clinical implications (Review).	title_abstract	exclude	review_or_secondary_source	no	2026-07-12
